K_BREV_T;K_FAGOMRADE;K_DOK_T;K_DOK_KATEGORI;BREVGRUPPE;REDIGERBART;DEKODE;DATO_FOM;DATO_TOM;ER_GYLDIG;DATO_OPPRETTET;OPPRETTET_AV;DATO_ENDRET;ENDRET_AV;K_BREV_REGEL_T;K_BREV_KATEGORI_T;K_BREV_UTLAND_T;K_BREV_KONTEKST_T;SYNLIG_FOR_VEILEDER;K_BREV_KRAV_T;VIS_I_PSELV;PRIORITET;DOKUMENT_TYPE_ID;DOKSYS;DOKUMENT_TYPE_ID_1;DOKUMENTMAL;DOKUMENTMAL_FELLESELEMENT;DOKUMENTMAL_REFERANSE;DATO_OPPRETTET_1;OPPRETTET_AV_1;DATO_ENDRET_1;ENDRET_AV_1;VERSJON
H050;PEN;I;SED;INGEN_BREVGRUPPE;0;H050 Anmodning om informasjon om inntekt - s�rskilte ikke-avgiftsbaserte kontantytelser;1899-12-31;2019-01-31;0;2015-01-15 11.00.00,000000000;Geir Fiksdal;2018-11-27 18.00.00,000000000;PK-55700;;;;;;;;;;;;;;;;;;;
H051;PEN;I;SED;INGEN_BREVGRUPPE;0;H051 Svar p� anmodning om informasjon om inntekt - s�rskilte ikke-avgiftsbaserte kontantytelser;1899-12-31;2019-01-31;0;2015-01-15 11.00.00,000000000;Geir Fiksdal;2018-11-27 18.00.00,000000000;PK-55700;;;;;;;;;;;;;;;;;;;
H052;PEN;I;SED;INGEN_BREVGRUPPE;0;H052 Anmodning om informasjon om ansettelsesforhold/selvstendig n�ringsvirksomhet/bosetningsperioder - s�rskilte ikke-avgiftsbaserte kontantytelser;1899-12-31;2019-01-31;0;2015-01-15 11.00.00,000000000;Geir Fiksdal;2018-11-27 18.00.00,000000000;PK-55700;;;;;;;;;;;;;;;;;;;
H053;PEN;I;SED;INGEN_BREVGRUPPE;0;H053 Svar p� anmodning om informasjon om ansettelsesforhold/selvstendig n�ringsvirksomhet/bosetningsperioder - s�rskilte ikke-avgiftsbaserte kontantytelser;1899-12-31;2019-01-31;0;2015-01-15 11.00.00,000000000;Geir Fiksdal;2018-11-27 18.00.00,000000000;PK-55700;;;;;;;;;;;;;;;;;;;
H061;PEN;I;SED;INGEN_BREVGRUPPE;0;H061 - Melding/anmodning om personnummer;1899-12-31;;1;2015-01-15 11.00.00,000000000;Geir Fiksdal;2018-11-27 18.00.00,000000000;PK-55700;;;;;;;;;;;;;;;;;;;
H062;PEN;I;SED;INGEN_BREVGRUPPE;0;H062 - Bekreftelse/svar p� anmodning om personnummer;1899-12-31;;1;2015-01-15 11.00.00,000000000;Geir Fiksdal;2018-11-27 18.00.00,000000000;PK-55700;;;;;;;;;;;;;;;;;;;
H070;PEN;I;SED;INGEN_BREVGRUPPE;0;H070 - Melding om d�dsfall;1899-12-31;;1;2015-01-15 11.00.00,000000000;Geir Fiksdal;2018-11-27 18.00.00,000000000;PK-55700;;;;;;;;;;;;;;;;;;;
H100;PEN;I;SED;INGEN_BREVGRUPPE;0;H100 Meldingen tas ikke i betraktning;1899-12-31;2019-01-31;0;2015-01-15 11.00.00,000000000;Geir Fiksdal;2018-11-27 18.00.00,000000000;PK-55700;;;;;;;;;;;;;;;;;;;
PE_AF_01_010;PEN;U;B;brevgr001;0;S�knad om AFP;1899-12-31;2008-01-31;0;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;;;;;;1;;;;;;;;;;;;
PE_AF_02_001;PEN;U;B;brevgr001;0;S�knad om Avtalefestet Pensjon;1899-12-31;2008-01-31;0;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;;;;;;1;;;;;;;;;;;;
PE_AF_03_100;PEN;U;B;brevgr004;0;Varsel - tilbakekreving av for mye utbetalt pensjon - AFP etteroppgj�r;1899-12-31;;1;2008-03-12 14.00.00,000000000;I. Hansen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;;;;;;1;;;;;;;;;;;;
PE_AF_03_101;PEN;U;B;brevgr004;1;Varsel - tilbakekreving av for mye utbetalt pensjon - AFP etteroppgj�r;1899-12-31;;1;2008-12-18 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VARSEL;NASJONALT;SAK;;AFP_EO;1;;;;;;;;;;;;
PE_AF_04_001;PEN;U;VB;brevgr002;1;Vedtak - innvilgelse av AFP;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AF_04_010;PEN;U;VB;brevgr003;1;Vedtak - avslag p� AFP;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AF_04_020;PEN;U;VB;brevgr002;1;Vedtak - endring av AFP;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AF_04_100;PEN;U;VB;brevgr004;0;Vedtak - ingen endring - AFP etteroppgj�r;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;;;;;;1;;;;;;;;;;;;
PE_AF_04_101;PEN;U;VB;brevgr004;0;Vedtak - etterbetaling av for lite utbetalt pensjon - AFP etteroppgj�r;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;;;;;;1;;;;;;;;;;;;
PE_AF_04_102;PEN;U;VB;brevgr004;0;Vedtak - ingen endring (andre avvik) - AFP etteroppgj�r;1899-12-31;;1;2008-03-12 14.00.00,000000000;I. Hansen;2012-11-15 16.00.00,000000000;Karianne Leland;GG;;;;;;1;;;;;;;;;;;;
PE_AF_04_103;PEN;U;B;brevgr004;1;Vedtak - ingen endring etter mottatt svar - AFP etteroppgj�r;1899-12-31;;1;2008-12-18 14.00.00,000000000;Johan Dahl;2012-11-15 16.00.00,000000000;Karianne Leland;GG;VEDTAK;NASJONALT;VEDTAK;;AFP_EO;1;;;;;;;;;;;;
PE_AF_04_104;PEN;U;B;brevgr004;1;Vedtak - tilbakekreving av for mye utbetalt pensjon - AFP etteroppgj�r;1899-12-31;;1;2008-12-18 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;AFP_EO;1;;;;;;;;;;;;
PE_AF_04_105;PEN;U;B;brevgr004;1;Vedtak - etterbetaling av for lite utbetalt pensjon etter mottatt svar - AFP etteroppgj�r;1899-12-31;;1;2008-12-18 14.00.00,000000000;Johan Dahl;2012-11-15 16.00.00,000000000;Karianne Leland;GG;VEDTAK;NASJONALT;VEDTAK;;AFP_EO;1;;;;;;;;;;;;
PE_AF_04_106;PEN;U;B;brevgr004;1;Vedtak - ingen endring (andre avvik) etter mottatt svar - AFP etteroppgj�r;1899-12-31;;1;2008-12-18 14.00.00,000000000;Johan Dahl;2012-11-15 16.00.00,000000000;Karianne Leland;GG;VEDTAK;NASJONALT;VEDTAK;;AFP_EO;1;;;;;;;;;;;;
PE_AF_04_107;PEN;U;VB;brevgr004;0;Vedtak - tilbakekreving grunnet manglende tilbakemelding - AFP etteroppgj�r;1899-12-31;;1;2008-04-20 09.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;AFP_EO;1;;;;;;;;;;;;
E202;PEN;U;E_BLANKETT;brevgr008;1;E 202 - Behandling av krav om alderspensjon;1899-12-31;;1;2015-11-04 12.00.00,000000000;Rohit Kolhekar;2015-11-04 12.00.00,000000000;Rohit Kolhekar;OVRIGE;;;;;;1;;;;;;;;;;;;
E202_E205;PEN;U;E_BLANKETT;brevgr008;1;E 202 og E 205 - Behandling av krav om alderspensjon og Attest om trygdetid i Norge;1899-12-31;;1;2015-11-04 12.00.00,000000000;Rohit Kolhekar;2016-01-06 16.38.00,000000000;�rjan Johansen;OVRIGE;;;;;;1;;;;;;;;;;;;
PE_AF_04_108;PEN;U;B;brevgr004;1;Vedtak - ingen endring - AFP etteroppgj�r;1899-12-31;;1;2008-12-18 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;AFP_EO;1;;;;;;;;;;;;
PE_AF_04_109;PEN;U;B;brevgr004;1;Vedtak - etterbetaling av for lite utbetalt pensjon - AFP etteroppgj�r;1899-12-31;;1;2008-12-18 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;AFP_EO;1;;;;;;;;;;;;
PE_AF_04_110;PEN;U;B;brevgr004;1;Vedtak - ingen endring (andre avvik) - AFP etteroppgj�r;1899-12-31;;1;2008-12-18 14.00.00,000000000;Johan Dahl;2012-11-21 16.00.00,000000000;Karianne Leland;GG;VEDTAK;NASJONALT;VEDTAK;;AFP_EO;1;;;;;;;;;;;;
PE_AF_04_111;PEN;U;VB;brevgr007;1;Vedtak - innvilgelse av AFP i privat sektor;1899-12-31;;1;2010-04-12 14.00.00,000000000;H. Martinsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GN;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AF_04_112;PEN;U;VB;brevgr007;1;Vedtak - avslag p� AFP i privat sektor;1899-12-31;;1;2010-04-12 14.00.00,000000000;H. Martinsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GN;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AF_04_113;PEN;U;VB;brevgr007;0;Vedtak - endring av opptjening - AFP i privat sektor;1899-12-31;;1;2010-08-16 14.00.00,000000000;Mathilde Eidem;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;;;;;;1;;;;;;;;;;;;
PE_AF_04_114;PEN;U;VB;brevgr007;1;Vedtak - endring av AFP i privat sektor;1899-12-31;;1;2010-09-30 10.00.00,000000000;Cato Haukeland;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AF_04_115;PEN;U;VB;brevgr007;0;Vedtak - innvilgelse av AFP i privat sektor;1899-12-31;;1;2010-06-11 14.00.00,000000000;H. Martinsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;;;;;;1;;;;;;;;;;;;
PE_AF_04_116;PEN;U;VB;brevgr007;0;Vedtak - avslag p� AFP i privat sektor;1899-12-31;;1;2010-06-11 14.00.00,000000000;H. Martinsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;;;;;;1;;;;;;;;;;;;
PE_AP_01_001;PEN;U;IB;brevgr001;0;Informasjon til deg som snart fyller 67 �r;1899-12-31;;1;2007-03-15 09.00.00,000000000;Dag Kristiansen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;INFORMASJON;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_AP_01_002;PEN;U;IB;brevgr001;0;Informasjon til deg som snart fyller 67 �r som har hatt gradert AFP;1899-12-31;2008-01-31;0;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;;;;;;1;;;;;;;;;;;;
PE_AP_01_003;PEN;U;IB;brevgr001;0;Informasjon til deg som snart fyller 67 �r som har mottatt redusert pensjon til familiepleier;1899-12-31;2008-01-31;0;2007-03-15 09.00.00,000000000;Dag Kristiansen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;;;;;;1;;;;;;;;;;;;
PE_AP_01_004;PEN;U;IB;brevgr001;0;Informasjon til deg som snart fyller 70 �r som ikke har hatt ytelser fra folketrygden;1899-12-31;2020-02-10;0;2007-03-15 09.00.00,000000000;Dag Kristiansen;2020-02-05 13.06.17,593703000;PL-1146;GG;INFORMASJON;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_AP_01_005;PEN;U;IB;brevgr001;0;Informasjon til deg som snart fyller 67 �r som har mottatt redusert gjenlevendepensjon;1899-12-31;2008-01-31;0;2007-03-15 09.00.00,000000000;Dag Kristiansen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;;;;;;1;;;;;;;;;;;;
PE_AP_01_006;PEN;U;B;brevgr001;0;Brev med skjema S�knad om alderspensjon (NAV 19-01.05);1899-12-31;;1;2009-10-13 09.00.00,000000000;Cato Haukeland;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;BREV_MED_SKJEMA;NASJONALT;SAK;1;;1;;;;;;;;;;;;
PE_AP_01_007;PEN;U;IB;brevgr001;0;Brev med skjema Endring av alderspensjon (NAV 19-01.10);1899-12-31;;1;2010-04-12 09.00.00,000000000;H. Martinsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GN;BREV_MED_SKJEMA;NASJONALT;SAK;1;;1;;;;;;;;;;;;
PE_AP_01_011;PEN;U;IB;brevgr001;0;Ikke l�pende ytelse;1899-12-31;;1;2009-04-22 16.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GN;;;;;;1;;;;;;;;;;;;
PE_AP_01_015;PEN;U;IB;brevgr001;0;L�pende gjenlevendepensjon;1899-12-31;;1;2009-04-22 16.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GN;;;;;;1;;;;;;;;;;;;
PE_AP_01_019;PEN;U;IB;brevgr001;0;L�pende delvis uf�repensjon;1899-12-31;;1;2009-04-22 16.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GN;;;;;;1;;;;;;;;;;;;
PE_AP_02_001;PEN;U;B;brevgr001;0;S�knad om alderspensjon;1899-12-31;2008-01-31;0;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;;;;;;1;;;;;;;;;;;;
PE_AP_02_002;PEN;U;VB;brevgr001;0;S�knad om alderspensjon (fleksibelt uttak);1899-12-31;2008-01-31;0;2009-08-21 16.00.00,000000000;Cato Haukeland;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;;;;;;1;;;;;;;;;;;;
PE_AP_02_003;PEN;U;B;brevgr001;0;Endringsblankett AP;1899-12-31;2008-01-31;0;2010-08-13 16.00.00,000000000;Mathilde Eidem;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;;;;;;1;;;;;;;;;;;;
PE_AP_04_001;PEN;U;VB;brevgr002;1;Vedtak - innvilgelse av alderspensjon (ev. innvilgelse/avslag fors�rgingstillegg);1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_010;PEN;U;VB;brevgr003;1;Vedtak - avslag p� alderspensjon;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_020;PEN;U;VB;brevgr002;1;Vedtak - endring av alderspensjon  (ev. innvilgelse/avslag fors�rgingstillegg);1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_202;PEN;U;VB;brevgr011;1;Vedtak - innvilgelse av alderspensjon;1899-12-31;;1;2009-05-13 16.00.00,000000000;Johan Dahl;2015-01-21 08.00.00,000000000;Kristen H�rum;GN;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_203;PEN;U;VB;brevgr011;1;Vedtak - innvilgelse av alderspensjon - utenlandssak;1899-12-31;;1;2009-05-13 16.00.00,000000000;Johan Dahl;2015-01-21 08.00.00,000000000;Kristen H�rum;GN;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_210;PEN;U;VB;brevgr011;0;Vedtak - avslag p� alderspensjon;1899-12-31;;1;2009-05-13 16.00.00,000000000;Johan Dahl;2015-01-21 08.00.00,000000000;Kristen H�rum;GN;;;;;;1;;;;;;;;;;;;
PE_AP_04_211;PEN;U;VB;brevgr011;1;Vedtak - avslag p� alderspensjon;1899-12-31;;1;2009-05-13 16.00.00,000000000;Johan Dahl;2015-01-21 08.00.00,000000000;Kristen H�rum;GN;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_212;PEN;U;VB;brevgr011;1;Vedtak - avslag p� alderspensjon - utenlandssak;1899-12-31;;1;2009-05-13 16.00.00,000000000;Johan Dahl;2015-01-21 08.00.00,000000000;Kristen H�rum;GN;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_213;PEN;U;VB;brevgr011;0;Vedtak - avslag p� alderspensjon - utenlandssak;1899-12-31;;1;2009-08-21 16.00.00,000000000;Cato Haukeland;2015-01-21 08.00.00,000000000;Kristen H�rum;GN;;;;;;1;;;;;;;;;;;;
PE_AP_04_214;PEN;U;VB;brevgr011;1;Vedtak - endring av alderspensjon fordi opptjening er endret;1899-12-31;;1;2010-12-16 12.00.00,000000000;Cato Haukeland;2015-01-21 08.00.00,000000000;Kristen H�rum;;VEDTAK;ALLTID;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_215;PEN;U;VB;brevgr011;1;Vedtak - opph�r av alderspensjon fordi opptjening er endret;1899-12-31;;1;2010-12-16 12.00.00,000000000;Cato Haukeland;2015-01-21 08.00.00,000000000;Kristen H�rum;;VEDTAK;ALLTID;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_216;PEN;U;VB;brevgr011;1;Vedtak - opph�r av alderspensjon og AFP i privat sektor fordi opptjening er endret;1899-12-31;;1;2010-12-16 12.00.00,000000000;Cato Haukeland;2015-01-21 08.00.00,000000000;Kristen H�rum;;VEDTAK;ALLTID;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_220;PEN;U;VB;brevgr011;1;Vedtak - endring av alderspensjon;1899-12-31;;1;2010-04-12 16.00.00,000000000;H. Martinsen;2016-09-02 08.00.00,000000000;Ola Gundelsby;GN;VEDTAK;ALLTID;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_221;PEN;U;VB;brevgr011;0;Vedtak - endring av alderspensjon p� grunn av innvilgelse eller opph�r av ektefelle/partner/samboers pensjon eller uf�retrygd;1899-12-31;;1;2009-05-13 16.00.00,000000000;Johan Dahl;2016-07-26 16.30.00,000000000;Tor Egil Jacobsen;;;;;;;1;;;;;;;;;;;;
PE_AP_04_222;PEN;U;VB;brevgr007;1;Vedtak - endring av alderspensjon - utlandssak;1899-12-31;2014-12-07;1;2010-04-12 16.00.00,000000000;H. Martinsen;2014-06-19 09.45.00,000000000;Tomas Gradin;GN;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_223;PEN;U;VB;brevgr011;1;Vedtak - innvilgelse eksport av alderspensjon;1899-12-31;;1;2010-04-12 16.00.00,000000000;H. Martinsen;2015-01-21 08.00.00,000000000;Kristen H�rum;GN;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_224;PEN;U;VB;brevgr011;1;Vedtak - delvis eksport av alderspensjon;1899-12-31;;1;2010-04-12 16.00.00,000000000;H. Martinsen;2015-01-21 08.00.00,000000000;Kristen H�rum;GN;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_225;PEN;U;VB;brevgr011;1;Vedtak - avslag p� eksport av alderspensjon;1899-12-31;;1;2010-04-12 16.00.00,000000000;H. Martinsen;2015-01-21 08.00.00,000000000;Kristen H�rum;GN;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_226;PEN;U;VB;brevgr011;0;Vedtak - endring av alderspensjon p� grunn av endring av ektefelle/partner/samboers pensjon eller uf�retrygd;1899-12-31;;1;2010-06-04 16.00.00,000000000;H. Martinsen;2016-07-26 16.30.00,000000000;Tor Egil Jacobsen;;;;;;;1;;;;;;;;;;;;
PE_AP_04_227;PEN;U;VB;brevgr011;0;Vedtak - innvilgelse av endret uttaksgrad for alderspensjon;1899-12-31;;1;2010-06-17 16.00.00,000000000;H. Martinsen;2015-01-21 08.00.00,000000000;Kristen H�rum;GN;;;;;;1;;;;;;;;;;;;
PE_AP_04_901;PEN;U;VB;brevgr002;1;Vedtak - innvilgelse av alderspensjon - bodd i ikke-avtaleland;1899-12-31;;1;2008-09-30 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_902;PEN;U;VB;brevgr002;1;Vedtak - forel�pig innvilgelse av alderspensjon - Norge/avtaleland;1899-12-31;;1;2008-09-30 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_903;PEN;U;VB;brevgr002;1;Vedtak - endelig innvilgelse av alderspensjon - uendret - Norge/avtaleland;1899-12-31;;1;2008-09-30 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_904;PEN;U;VB;brevgr002;1;Vedtak - endelig innvilgelse av alderspensjon - endret - Norge/avtaleland;1899-12-31;;1;2008-09-30 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_910;PEN;U;VB;brevgr003;1;Vedtak - avslag p� alderspensjon - bosatt i utlandet;1899-12-31;;1;2008-09-30 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_911;PEN;U;VB;brevgr003;1;Vedtak - forel�pig avslag p� alderspensjon - Norge/avtaleland;1899-12-31;;1;2008-09-30 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_912;PEN;U;VB;brevgr003;1;Vedtak - endelig avslag p� alderspensjon - Norge/avtaleland;1899-12-31;;1;2008-09-30 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_913;PEN;U;VB;brevgr002;1;Vedtak - innvilgelse av alderspensjon - bosatt i avtaleland;1899-12-31;;1;2008-09-30 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_AP_04_914;PEN;U;VB;brevgr002;1;Vedtak - innvilgelse av alderspensjon - bosatt i ikke-avtaleland;1899-12-31;;1;2008-09-30 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
